CaseID;NameActivity;timestamp;Resource;Role
1043135155c9f584318f5d1077721420;User Story Upload;04-08-19 0:00;Diana;Customer
1043135155c9f584318f5d1077721420;Activity Diagram Upload;05-01-19 10:00;Erfan;Designer
1043135155c9f584318f5d1077721420;Use Case Diagram Upload;05-07-19 23:00;Lyora;Designer
1043135155c9f584318f5d1077721420;Use Case Diagram Approval;05-10-19 12:00;Brendan;Assistant Project
1043135155c9f584318f5d1077721420;Class Diagram Upload;05-12-19 13:00;Lyora;Designer
1043135155c9f584318f5d1077721420;Class Diagram Approval;5-15-19 5:00;Brendan;Assistant Project
1043135155c9f584318f5d1077721420;CDM and PDM Upload;5-17-19 15:00;Lyora;Designer
1043135155c9f584318f5d1077721420;CDM and PDM Approval;5-19-19 10:00;Brendan;Assistant Project
1043135155c9f584318f5d1077721420;Software Design Document Upload;5-21-19 22:00;Lyora;Designer
1043135155c9f584318f5d1077721420;Customer Approval of Software Design;5-23-19 19:00;Diana;Customer
1043135155c9f584318f5d1077721420;Scheduling;5-25-19 20:00;Lyora;Designer
1043135155c9f584318f5d1077721420;Schedule Approval;5-28-19 1:00;Brendan;Assistant Project
1043135155c9f584318f5d1077721420;Budget Proposal Upload;5-29-19 7:00;Alya;Finance
1043135155c9f584318f5d1077721420;Budget Aproval;5-30-19 19:00;Yutika;Head Finance
1043135155c9f584318f5d1077721420;Team Formation;5-31-19 20:00;Brendan;Assistant Project
1043135155c9f584318f5d1077721420;Team Approval of Software Design;06-03-19 0:00;Christi;Lead Developer
1043135155c9f584318f5d1077721420;Job Assignment;06-04-19 12:00;Farah;Project Manager
1043135155c9f584318f5d1077721420;Development Process;06-05-19 23:00;Biandina;Developer
1043135155c9f584318f5d1077721420;Feature Completion Checking;06-08-19 15:00;Dalila;Tester
1043135155c9f584318f5d1077721420;Software Prototype Upload;06-09-19 18:00;Biandina;Developer
1043135155c9f584318f5d1077721420;Customer Software Testing;06-12-19 14:00;Dalila;Tester
1043135155c9f584318f5d1077721420;User Manual Upload;6-14-19 0:00;Dalila;Tester
1043135155c9f584318f5d1077721420;Customer Approval of Application;6-15-19 1:00;Diana;Customer
1043135155c9f584318f5d1077721420;Application Installaton;6-17-19 5:00;Biandina;Developer
1121589915c9f9f173ece49015885070;User Story Upload;6-21-19 11:00;Riana;Customer
1121589915c9f9f173ece49015885070;Development Process;08-10-19 22:00;Biandina;Developer
1121589915c9f9f173ece49015885070;Software Prototype Upload;8-24-19 11:10;Biandina;Developer
1121589915c9f9f173ece49015885070;End User Reviews Upload;09-01-19 18:00;Riana;Customer
1244168695c9f9bd84cd266083435658;Use Case Diagram Upload;9-19-19 9:21;Putri;Designer
1244168695c9f9bd84cd266083435658;Class Diagram Upload;9-23-19 7:12;Putri;Designer
1244168695c9f9bd84cd266083435658;CDM and PDM Upload;9-27-19 11:20;Putri;Designer
1244168695c9f9bd84cd266083435658;Software Design Document Upload;10-01-19 7:00;Putri;Designer
1244168695c9f9bd84cd266083435658;Customer Approval of Software Design;10-03-19 10:00;Yesaya;Customer
